,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
940,55.0,8.368283871884005,-78.66045242052408,15.226776666757157,5.114650770677216,34.60660171779821,132,212.96363636363637,248
941,30.25,6.206085419025319,-60.548170776316546,7.298544910947629,5.646243956366438,20.77817459305202,143,200.35537190082644,214
942,28.75,6.050259243299904,17.414244658503197,7.104954086899309,5.420880115135803,20.656854249492383,138,199.29565217391306,216
943,3.75,2.1850968611841584,-90.00003218077504,2.8284271247461903,1.632993161855452,6.0,171,190.46666666666667,199
944,7.75,3.141274657157109,-53.22432309462386,3.4393344270270796,2.860675740412086,9.121320343559642,135,203.70967741935485,235
945,21.25,5.201570947860099,68.45343828609744,9.487246265184817,3.106714321380549,21.071067811865476,137,207.8,229
946,14.5,4.296739856991561,79.99078550438631,5.740288612323887,3.3518025161681533,13.949747468305834,138,211.70689655172413,231
947,56.25,8.462843753216344,31.61565357905533,10.645782894337836,6.798001732441545,28.606601717798213,133,165.72,180
948,28.5,6.023896332520351,53.78115690608507,7.631069425108653,5.47487240717512,22.899494936611664,141,195.02631578947367,235
949,3.5,2.111004122822376,45.00001609038752,2.390457218668787,1.7728105208558367,5.414213562373095,166,222.64285714285714,252
950,7.5,3.0901936161855166,22.58655732870074,3.813551072355742,2.4942479153000843,9.121320343559642,132,138.5,148
951,29.25,6.102643417692329,73.08496303724934,6.273306680777171,6.209564572201851,20.071067811865472,136,178.2051282051282,192
952,5.75,2.7057581899030048,-57.1538089881412,3.537878481949192,2.025698312716937,7.82842712474619,149,170.52173913043478,179
953,8.75,3.3377905890622728,76.69824922481153,4.417908616355884,2.545672957091544,10.414213562373096,135,201.8,219
954,3.0,1.9544100476116797,-90.00003218077504,2.23606797749979,1.632993161855452,5.0,168,188.66666666666666,204
955,19.0,4.918490759365935,68.16574819565321,6.340987391895991,4.464811101893838,18.242640687119284,138,164.75,178
956,13.75,4.1841419359420025,74.91789731879373,5.304873063447428,3.4197009867181567,13.242640687119284,132,222.4181818181818,252
957,27.5,5.917270272703197,66.90598563565575,7.134708861074916,4.99292678671049,19.36396103067893,136,219.4090909090909,239
958,16.75,4.61809077155419,-76.05363055290444,6.047058757784301,4.334095472583511,17.071067811865476,132,225.1492537313433,251
959,20.0,5.046265044040321,76.57330114887411,6.47516774270202,4.109023935665405,16.535533905932738,145,227.45,250
960,2.25,1.692568750643269,45.00001609038752,1.632993161855452,1.632993161855452,4.0,136,195.55555555555554,245
961,1155.25,38.35244430352903,-1.0209930302216979,105.68304419110038,20.751385201037746,582.5426765808692,132,232.2300367885739,255
962,14.25,4.259537945889915,78.33466450006983,5.769715128339648,3.2090423404106905,13.65685424949238,136,231.10526315789474,250
963,3.5,2.111004122822376,45.00001609038752,2.390457218668787,1.7728105208558367,5.414213562373095,139,204.64285714285714,231
964,31.75,6.358093703724522,-18.634386332413108,9.365657720935477,6.204504482803005,36.692388155425114,132,140.2755905511811,155
965,9.5,3.477898169151024,-28.040858687109715,3.90342095150281,3.166896407085056,10.414213562373096,143,191.31578947368422,208
966,17.75,4.753945931439391,48.83134488726496,5.803459579472769,3.912005709223501,14.949747468305834,133,170.05633802816902,187
967,15.5,4.442433223290478,61.55176334503565,5.113271437670337,3.8852065343410254,13.535533905932738,135,227.32258064516128,245
968,4.0,2.256758334191025,45.00001609038752,2.23606797749979,2.23606797749979,6.0,151,210.125,226
969,12.25,3.949327084834294,-65.8693630437164,4.772882079883574,3.319464861072655,12.242640687119284,154,220.10204081632654,241
970,18.0,4.787307364817192,-45.913756042602124,6.314771637403303,3.8577385631698515,16.071067811865476,139,192.79166666666666,216
971,28.75,6.050259243299904,39.14851597877235,8.70199795178286,4.944791141741649,23.363961030678926,135,209.69565217391303,234
972,9.0,3.385137501286538,85.36372963439982,5.643303956145864,2.065001590715984,11.707106781186548,137,162.27777777777777,177
973,2.25,1.692568750643269,45.00001609038752,1.632993161855452,1.632993161855452,4.0,141,149.22222222222223,158
974,15.5,4.442433223290478,-29.34257632461485,5.0675649451510845,4.008746147158417,13.949747468305834,146,168.9516129032258,181
975,4.5,2.393653682408596,66.89058630010258,2.7712967309465366,1.9966424556519138,6.414213562373095,138,166.66666666666666,180
976,37.0,6.863662517577698,55.220210318133724,12.050308956534066,4.51693784951376,29.435028842544405,132,181.81756756756758,200
977,5.5,2.6462837142006137,33.690079572340714,2.746899078134205,2.564861087211979,7.414213562373095,161,183.4090909090909,200
978,27.5,5.917270272703197,-75.22960982823194,8.882675188260883,3.9989542656628037,21.363961030678926,133,234.03636363636363,255
979,11.5,3.826519928662906,-69.89133737860439,5.305242447454148,2.8944830390475156,12.535533905932738,137,200.5,218
980,19.75,5.014626706796775,54.44471973170128,5.998006298017539,4.406541428160082,16.363961030678926,132,156.83544303797467,167
981,5.25,2.5854414729132054,78.95108217222348,3.430731138087047,1.989466012432116,7.707106781186548,145,205.42857142857142,225
982,55.75,8.42514715711158,16.88312443934585,10.367023090970235,7.433186050540381,31.31370849898476,133,172.53811659192826,184
983,52.75,8.19532708223289,78.29351702553826,12.143352951268124,6.454941312430655,33.14213562373095,132,210.02843601895734,241
984,5.75,2.7057581899030048,-83.83878165895713,3.333640804401902,2.1761457335774375,7.707106781186548,136,200.8695652173913,234
985,18.75,4.886025119029199,81.0790701526711,8.529935481400212,2.958622167089641,18.94974746830583,134,171.24,185
986,5.5,2.6462837142006137,77.44261024762024,3.279983288401781,2.081494347509531,7.414213562373095,156,194.95454545454547,220
987,54.5,8.33015937350939,-58.133823341016374,17.287863065083858,4.8660194367185285,38.4350288425444,138,210.10550458715596,255
988,9.0,3.385137501286538,56.09389712379639,4.732841662391705,2.664621886634073,11.535533905932738,132,139.52777777777777,149
989,36.25,6.793742230659745,-71.01432111749602,11.14631860698836,4.361659794244863,26.071067811865476,133,172.59310344827585,189
990,13.0,4.068428945128219,-54.1038337290331,4.752080434820363,3.56063008055924,12.949747468305832,132,209.75,234
991,20.5,5.108953969950291,-75.58911741976272,5.8857284714192755,4.488874130732268,16.242640687119284,135,234.5121951219512,255
992,72.5,9.607802401865856,49.05215190937024,10.732587991667478,8.933222855040023,33.97056274847714,133,220.6344827586207,255
993,2.25,1.692568750643269,45.00001609038752,1.632993161855452,1.632993161855452,4.0,135,141.44444444444446,148
994,74.5,9.739422266375435,-21.63079381840009,11.438027306431444,9.186323997595762,37.55634918610404,132,186.58053691275168,201
995,50.5,8.018640596081465,67.6070274425934,11.207054236626336,5.849517539352087,28.192388155425117,133,215.65841584158414,234
996,16.25,4.54864184146723,88.59271960212338,5.11455221368399,4.078511378160446,13.949747468305832,138,205.8153846153846,222
997,63.25,8.97398468933946,63.79783781022772,13.65362533988089,6.41884963038903,45.98832970144351,132,146.93675889328063,196
